date,country,cpi,unemployment,inflation
2000-01-01,Austria,74.28,5.0,-0.38889633901031523
2000-02-01,Austria,74.85,5.4,0.7673667205169536
2000-03-01,Austria,74.92,5.3,0.09352037408150621
2000-04-01,Austria,74.78,4.2,-0.18686599038974983
2000-05-01,Austria,74.71,3.2,-0.09360791655523855
2000-06-01,Austria,75.0,3.0,0.38816758131442414
2000-07-01,Austria,74.78,3.1,-0.29333333333333184
2000-08-01,Austria,74.85,3.4,0.09360791655521955
2000-09-01,Austria,75.14,3.7,0.3874415497662074
2000-10-01,Austria,75.35,3.6,0.27947830715995975
2000-11-01,Austria,75.64,3.5,0.38487060384871435
2000-12-01,Austria,75.93,3.8,0.3833950290851484
2001-01-01,Austria,75.96,4.2,0.039510075069125405
2001-02-01,Austria,76.21,4.5,0.3291205897840969
2001-03-01,Austria,76.33,4.6,0.15745965096444636
2001-04-01,Austria,76.71,4.3,0.4978383335516775
2001-05-01,Austria,76.86,3.5,0.19554165037153656
2001-06-01,Austria,76.96,3.4,0.13010668748372928
2001-07-01,Austria,76.85,3.4,-0.1429313929313922
2001-08-01,Austria,76.66,3.6,-0.24723487312947007
2001-09-01,Austria,76.95,4.0,0.3782937646751973
2001-10-01,Austria,77.1,3.9,0.19493177387913121
2001-11-01,Austria,77.07,4.0,-0.038910505836577354
2001-12-01,Austria,77.27,4.4,0.2595043466978109
2002-01-01,Austria,77.4,5.1,0.1682412320434964
2002-02-01,Austria,77.53,5.5,0.16795865633074347
2002-03-01,Austria,77.63,5.5,0.128982329420862
2002-04-01,Austria,77.98,4.7,0.4508566275924366
2002-05-01,Austria,78.12,3.7,0.17953321364452496
2002-06-01,Austria,78.11,3.5,-0.012800819252438703
2002-07-01,Austria,77.98,3.6,-0.16643195493534177
2002-08-01,Austria,78.19,4.0,0.26929982046677836
2002-09-01,Austria,78.19,4.3,0.0
2002-10-01,Austria,78.36,4.2,0.21741910730272632
2002-11-01,Austria,78.36,4.1,0.0
2002-12-01,Austria,78.57,4.4,0.2679938744257194
2003-01-01,Austria,78.71,5.0,0.17818505791014455
2003-02-01,Austria,78.85,5.3,0.1778681234912979
2003-03-01,Austria,79.06,5.6,0.2663284717818744
2003-04-01,Austria,78.98,5.3,-0.101188970402224
2003-05-01,Austria,78.88,4.3,-0.12661433274247724
2003-06-01,Austria,78.89,4.2,0.012677484787024742
2003-07-01,Austria,78.79,4.1,-0.12675877804537244
2003-08-01,Austria,79.01,4.4,0.279223251681684
2003-09-01,Austria,79.22,4.6,0.26578914061510406
2003-10-01,Austria,79.2,4.6,-0.02524614996212575
2003-11-01,Austria,79.4,4.6,0.2525252525252561
2003-12-01,Austria,79.62,5.1,0.27707808564231595
2004-01-01,Austria,79.67,6.6,0.06279829188645711
2004-02-01,Austria,80.02,6.7,0.4393121626710108
2004-03-01,Austria,80.34,6.9,0.39990002499376076
2004-04-01,Austria,80.24,6.2,-0.12447099825741662
2004-05-01,Austria,80.53,5.3,0.3614157527417825
2004-06-01,Austria,80.68,5.3,0.1862659878306292
2004-07-01,Austria,80.44,5.2,-0.297471492315331
2004-08-01,Austria,80.75,5.4,0.3853804077573375
2004-09-01,Austria,80.68,5.8,-0.08668730650153954
2004-10-01,Austria,81.06,5.9,0.47099652949925064
2004-11-01,Austria,81.22,5.6,0.19738465334319835
